velocidad_bala,distancia,altura_bala,salto,agachado
-11,260,1,0,0
-11,249,1,0,0
-11,238,1,0,0
-11,227,1,1,0
-11,216,1,1,0
-11,205,1,1,0
-11,194,1,1,0
-11,183,1,1,0
-11,172,1,1,0
-11,161,1,1,0
-11,150,1,1,0
-11,139,1,1,0
-11,128,1,1,0
-11,117,1,1,0
-11,106,1,1,0
-11,95,1,1,0
-11,84,1,1,0
-11,73,1,1,0
-11,62,1,1,0
-11,51,1,1,0
-11,40,1,1,0
-11,29,1,1,0
-11,18,1,1,0
-11,7,1,1,0
-11,4,1,1,0
-11,15,1,1,0
-11,26,1,1,0
-11,37,1,1,0
-11,48,1,1,0
-11,700,2,1,0
-11,689,2,1,0
-11,678,2,1,0
-11,667,2,1,0
-11,656,2,0,0
-11,645,2,1,0
-11,634,2,1,0
-11,623,2,1,0
-11,612,2,1,0
-11,601,2,1,0
-11,590,2,1,0
-11,579,2,1,0
-11,568,2,1,0
-11,557,2,1,0
-11,546,2,1,0
-11,535,2,1,0
-11,524,2,1,0
-11,513,2,1,0
-11,502,2,1,0
-11,491,2,1,0
-11,480,2,1,0
-11,469,2,1,0
-11,458,2,1,0
-11,447,2,1,0
-11,436,2,1,0
-11,425,2,1,0
-11,414,2,1,0
-11,403,2,1,0
-11,392,2,1,0
-11,381,2,1,0
-11,370,2,1,0
-11,359,2,1,0
-11,348,2,1,0
-11,337,2,1,0
-11,326,2,1,0
-11,315,2,0,0
-11,304,2,0,0
-11,293,2,1,0
-11,282,2,1,0
-11,271,2,1,0
-11,260,2,1,0
-11,249,2,1,0
-11,238,2,1,0
-11,227,2,1,0
-11,216,2,1,0
-11,205,2,1,0
-11,194,2,1,0
-11,183,2,1,0
-11,172,2,1,0
-11,161,2,1,0
-11,150,2,1,0
-11,139,2,1,0
-11,128,2,1,0
-11,117,2,1,0
-11,106,2,1,0
-11,95,2,1,0
-11,84,2,1,0
-11,73,2,1,0
-11,62,2,1,0
-11,51,2,1,0
-11,40,2,1,0
-11,29,2,1,0
-9,700,0,0,0
-9,691,0,0,0
-9,682,0,0,0
-9,673,0,0,0
-9,664,0,0,0
-9,655,0,0,0
-9,646,0,1,0
-9,637,0,1,0
-9,628,0,1,0
-9,619,0,1,0
-9,610,0,1,0
-9,601,0,1,0
-9,592,0,1,0
-9,583,0,1,0
-9,574,0,1,0
-9,565,0,1,0
-9,556,0,1,0
-9,547,0,1,0
-9,538,0,1,0
-9,529,0,1,0
-9,520,0,1,0
-9,511,0,1,0
-9,502,0,1,0
-9,493,0,1,0
-9,484,0,1,0
-9,475,0,1,0
-9,466,0,1,0
-9,457,0,1,0
-9,448,0,1,0
-9,439,0,1,0
-9,430,0,1,0
-9,421,0,1,0
-9,412,0,1,0
-9,403,0,1,0
-9,394,0,1,0
-9,385,0,1,0
-9,376,0,0,0
-9,367,0,0,0
-9,358,0,0,0
-9,349,0,0,0
-9,340,0,1,0
-9,331,0,1,0
-9,322,0,1,0
-9,313,0,1,0
-9,304,0,1,0
-9,295,0,1,0
-9,286,0,1,0
-9,277,0,1,0
-9,268,0,1,0
-9,259,0,1,0
-9,250,0,1,0
-9,241,0,1,0
-9,232,0,1,0
-9,223,0,1,0
-9,214,0,1,0
-9,205,0,1,0
-9,196,0,1,0
-9,187,0,1,0
-9,178,0,1,0
-9,169,0,1,0
-9,160,0,1,0
-9,151,0,1,0
-9,142,0,1,0
-9,133,0,1,0
-9,124,0,1,0
-9,115,0,1,0
-9,106,0,1,0
-9,97,0,1,0
-9,88,0,1,0
-9,79,0,1,0
-9,70,0,0,0
-9,61,0,0,0
-9,52,0,0,0
-9,43,0,1,0
-9,34,0,1,0
-8,700,1,0,0
-8,692,1,0,0
-8,684,1,0,0
-8,676,1,0,0
-8,668,1,0,0
-8,660,1,0,0
-8,652,1,0,0
-8,644,1,0,0
-8,636,1,0,0
-8,628,1,0,0
-8,620,1,0,0
-8,612,1,1,0
-8,604,1,1,0
-8,596,1,1,0
-8,588,1,1,0
-8,580,1,1,0
-8,572,1,1,0
-8,564,1,1,0
-8,556,1,1,0
-8,548,1,1,0
-8,540,1,1,0
-8,532,1,1,0
-8,524,1,1,0
-8,516,1,1,0
-8,508,1,1,0
-8,500,1,1,0
-8,492,1,1,0
-8,484,1,1,0
-8,476,1,1,0
-8,468,1,1,0
-8,460,1,1,0
-8,452,1,1,0
-8,444,1,1,0
-8,436,1,1,0
-8,428,1,1,0
-8,420,1,1,0
-8,412,1,1,0
-8,404,1,0,0
-8,396,1,0,0
-8,388,1,1,0
-8,380,1,1,0
-8,372,1,1,0
-8,364,1,1,0
-8,356,1,1,0
-8,348,1,1,0
-8,340,1,1,0
-8,332,1,1,0
-8,324,1,1,0
-8,316,1,1,0
-8,308,1,1,0
-8,300,1,1,0
-8,292,1,1,0
-8,284,1,1,0
-8,276,1,1,0
-8,268,1,1,0
-8,260,1,1,0
-8,252,1,1,0
-8,244,1,1,0
-8,236,1,1,0
-8,228,1,1,0
-8,220,1,1,0
-8,212,1,1,0
-8,204,1,1,0
-8,196,1,1,0
-8,188,1,1,0
-8,180,1,1,0
-8,172,1,1,0
